street,hero_hand,spr,in_position,num_players,board_texture,action_history
flop,KhAs,10.0,0,13,two-tone,C
flop,KhJd,10.0,0,13,two-tone,C
flop,7c8h,10.0,0,13,rainbow,C
flop,AhKd,10.0,0,11,rainbow,C
flop,9c5d,10.0,0,13,rainbow,C
flop,7c5h,10.0,0,13,two-tone,C
flop,Jc9s,10.0,0,13,two-tone,C
flop,4d7d,10.0,0,13,two-tone,C
flop,Td9d,10.0,0,13,two-tone,C
flop,Qc5d,10.0,0,13,two-tone,
flop,8s8d,10.0,0,13,rainbow,C
flop,9c9h,10.0,0,11,two-tone,
flop,QhKd,10.0,0,12,two-tone,C
flop,2h5c,10.0,0,12,two-tone,
flop,Qh4h,10.0,0,13,rainbow,C
flop,9sJs,10.0,0,11,rainbow,C
flop,AsAh,10.0,0,13,two-tone,C
flop,JhKc,10.0,0,9,two-tone,C
flop,9dAd,10.0,0,7,rainbow,C
flop,QsQh,10.0,0,13,rainbow,
flop,JsJc,10.0,0,8,two-tone,
flop,JcKs,10.0,0,12,two-tone,R
flop,6h2h,10.0,0,12,two-tone,
flop,7hQs,10.0,0,12,rainbow,C
flop,Qs9d,10.0,0,12,rainbow,
flop,Qs9s,10.0,0,13,two-tone,C
flop,KcAd,10.0,0,13,two-tone,R
flop,6s6d,10.0,0,13,rainbow,C
flop,2h9c,10.0,0,13,monotone,C
flop,Qh2d,10.0,0,11,two-tone,
flop,Td3d,10.0,0,11,rainbow,C
flop,Th7h,10.0,0,13,monotone,C
flop,6d4d,10.0,0,12,two-tone,C
flop,9d5d,10.0,0,12,two-tone,C
flop,3sTh,10.0,0,12,rainbow,
flop,8c6c,10.0,0,12,rainbow,C
flop,4hQh,10.0,0,11,two-tone,C
flop,QdJd,10.0,0,13,rainbow,R
flop,AsAc,10.0,0,9,two-tone,C
flop,9cAd,10.0,0,13,monotone,C
flop,7c5c,10.0,0,13,two-tone,C
flop,Qs8d,10.0,0,13,monotone,C
flop,JdTc,10.0,0,13,rainbow,C
flop,8d8c,10.0,0,12,two-tone,C
flop,JsJh,10.0,0,12,two-tone,C
flop,Ad9h,10.0,0,12,monotone,
flop,QcTh,10.0,0,13,rainbow,C
flop,Qc4c,10.0,0,13,rainbow,C
flop,8c8d,10.0,0,13,rainbow,R
flop,4d5s,10.0,0,12,two-tone,C
flop,Ad9c,10.0,0,12,rainbow,C
flop,9d8d,10.0,0,13,rainbow,C
flop,KdTs,10.0,0,13,two-tone,C
flop,8hJh,10.0,0,13,two-tone,C
flop,Qd8d,10.0,0,13,two-tone,C
flop,6sAh,10.0,0,13,two-tone,C
flop,KcJh,10.0,0,11,monotone,C
flop,5d5h,10.0,0,13,two-tone,C
flop,QdJs,10.0,0,11,two-tone,C
flop,6s5s,10.0,0,13,two-tone,C
flop,Qh8h,10.0,0,12,two-tone,C
flop,4h6h,10.0,0,13,two-tone,C
flop,Ad3d,10.0,0,13,two-tone,C
flop,KhQd,10.0,0,13,two-tone,R
flop,4h8c,10.0,0,13,two-tone,C
flop,3sKc,10.0,0,13,two-tone,C
flop,AdTs,10.0,0,12,rainbow,
flop,QdQs,10.0,0,11,two-tone,R
flop,9dAs,10.0,0,13,two-tone,C
flop,2c2d,10.0,0,13,rainbow,C
flop,KdQh,10.0,0,13,rainbow,R
flop,3s6s,10.0,0,13,two-tone,C
