street,hero_hand,spr,in_position,num_players,board_texture,action_history
preflop,KhAs,10.0,0,13,empty,R
preflop,KhJd,10.0,0,13,empty,C
preflop,7c8h,10.0,0,13,empty,C
preflop,AhKd,10.0,0,11,empty,C
preflop,9c5d,10.0,0,13,empty,C
preflop,7c5h,10.0,0,13,empty,C
preflop,Jc9s,10.0,0,13,empty,C
preflop,4d7d,10.0,0,13,empty,C
preflop,Td9d,10.0,0,13,empty,C
preflop,8s8d,10.0,0,13,empty,C
preflop,9c9h,10.0,0,11,empty,R
preflop,QhKd,10.0,0,12,empty,C
preflop,Qh4h,10.0,0,13,empty,C
preflop,9sJs,10.0,0,11,empty,C
preflop,AsAh,10.0,0,13,empty,R
preflop,JhKc,10.0,0,9,empty,R
preflop,9dAd,10.0,0,7,empty,R
preflop,QsQh,10.0,0,13,empty,R
preflop,JsJc,10.0,0,8,empty,R
preflop,JcKs,10.0,0,12,empty,R
preflop,7hQs,10.0,0,12,empty,C
preflop,Qs9d,10.0,0,12,empty,R
preflop,Qs9s,10.0,0,13,empty,R
preflop,KcAd,10.0,0,13,empty,R
preflop,6s6d,10.0,0,13,empty,R
preflop,2h9c,10.0,0,13,empty,C
preflop,Td3d,10.0,0,11,empty,C
preflop,Th7h,10.0,0,13,empty,C
preflop,6d4d,10.0,0,12,empty,C
preflop,9d5d,10.0,0,12,empty,C
preflop,8c6c,10.0,0,12,empty,C
preflop,4hQh,10.0,0,11,empty,C
preflop,QdJd,10.0,0,13,empty,R
preflop,AsAc,10.0,0,9,empty,R
preflop,9cAd,10.0,0,13,empty,R
preflop,7c5c,10.0,0,13,empty,C
preflop,Qs8d,10.0,0,13,empty,C
preflop,JdTc,10.0,0,13,empty,C
preflop,8d8c,10.0,0,12,empty,C
preflop,JsJh,10.0,0,12,empty,R
preflop,Ad9h,10.0,0,12,empty,R
preflop,QcTh,10.0,0,13,empty,C
preflop,Qc4c,10.0,0,13,empty,C
preflop,8c8d,10.0,0,13,empty,R
preflop,4d5s,10.0,0,12,empty,C
preflop,Ad9c,10.0,0,12,empty,C
preflop,9d8d,10.0,0,13,empty,C
preflop,KdTs,10.0,0,13,empty,C
preflop,8hJh,10.0,0,13,empty,C
preflop,Qd8d,10.0,0,13,empty,R
preflop,6sAh,10.0,0,13,empty,C
preflop,KcJh,10.0,0,11,empty,C
preflop,5d5h,10.0,0,13,empty,C
preflop,QdJs,10.0,0,11,empty,C
preflop,6s5s,10.0,0,13,empty,C
preflop,Qh8h,10.0,0,12,empty,C
preflop,4h6h,10.0,0,13,empty,C
preflop,Ad3d,10.0,0,13,empty,C
preflop,KhQd,10.0,0,13,empty,R
preflop,4h8c,10.0,0,13,empty,C
preflop,3sKc,10.0,0,13,empty,C
preflop,AdTs,10.0,0,12,empty,R
preflop,QdQs,10.0,0,11,empty,R
preflop,9dAs,10.0,0,13,empty,C
preflop,2c2d,10.0,0,13,empty,R
preflop,KdQh,10.0,0,13,empty,R
preflop,3s6s,10.0,0,13,empty,C
preflop,TdTs,10.0,0,13,empty,R
preflop,QsQc,10.0,0,13,empty,R
preflop,4h7c,10.0,0,13,empty,C
preflop,9cAd,10.0,0,13,empty,R
preflop,Qd8d,10.0,0,13,empty,R
preflop,5d5h,10.0,0,12,empty,C
preflop,ThTd,10.0,0,12,empty,R
preflop,AcTd,10.0,0,11,empty,C
preflop,JcTc,10.0,0,13,empty,C
preflop,QsQd,10.0,0,13,empty,R
preflop,QcKd,10.0,0,13,empty,C
preflop,6dJh,10.0,0,13,empty,C
preflop,4s4d,10.0,0,12,empty,C
preflop,JhTc,10.0,0,12,empty,C
preflop,KhQc,10.0,0,13,empty,R
preflop,KhAd,10.0,0,13,empty,R
preflop,JcJs,10.0,0,13,empty,R
preflop,AcKh,10.0,0,9,empty,R
preflop,2c2h,10.0,0,13,empty,C
preflop,9cJc,10.0,0,13,empty,C
preflop,Qd9d,10.0,0,13,empty,C
preflop,QcAh,10.0,0,13,empty,R
preflop,KhTh,10.0,0,13,empty,C
preflop,3c3s,10.0,0,12,empty,C
preflop,TdKd,10.0,0,13,empty,C
preflop,AsKs,10.0,0,13,empty,R
preflop,AsJd,10.0,0,13,empty,R
preflop,AsKd,10.0,0,13,empty,R
preflop,7c4c,10.0,0,13,empty,C
preflop,7s6d,10.0,0,13,empty,C
preflop,JhQd,10.0,0,13,empty,R
preflop,JdKc,10.0,0,13,empty,C
preflop,KhJc,10.0,0,13,empty,C
preflop,AhKs,10.0,0,13,empty,R
preflop,4cAd,10.0,0,13,empty,R
preflop,7h7d,10.0,0,13,empty,R
preflop,7sJs,10.0,0,12,empty,R
preflop,AhJh,10.0,0,13,empty,C
preflop,Ad7d,10.0,0,13,empty,C
preflop,9hAd,10.0,0,13,empty,R
preflop,Jd8c,10.0,0,13,empty,C
preflop,9cKc,10.0,0,9,empty,C
preflop,JhAs,10.0,0,13,empty,R
preflop,JsQs,10.0,0,13,empty,C
preflop,6cAc,10.0,0,13,empty,R
preflop,AdQh,10.0,0,13,empty,C
preflop,9dJh,10.0,0,13,empty,C
preflop,AhKh,10.0,0,13,empty,R
preflop,9dJd,10.0,0,13,empty,R
preflop,4hKs,10.0,0,13,empty,C
preflop,JhKh,10.0,0,13,empty,C
preflop,7c5s,10.0,0,13,empty,C
preflop,QcAs,10.0,0,13,empty,R
preflop,JsQh,10.0,0,11,empty,R
preflop,Ad8c,10.0,0,12,empty,R
preflop,7hKh,10.0,0,8,empty,R
preflop,9dQc,10.0,0,11,empty,C
preflop,5h4d,10.0,0,13,empty,C
preflop,7s7h,10.0,0,13,empty,R
preflop,QsAc,10.0,0,13,empty,R
preflop,2hAs,10.0,0,13,empty,C
preflop,7s7c,10.0,0,13,empty,R
preflop,KhKs,10.0,0,13,empty,R
preflop,AhAd,10.0,0,13,empty,R
preflop,Kd9d,10.0,0,9,empty,C
preflop,KhQc,10.0,0,9,empty,C
preflop,7cKd,10.0,0,9,empty,C
preflop,QdTh,10.0,0,9,empty,C
preflop,8hAd,10.0,0,9,empty,R
preflop,QcTc,10.0,0,9,empty,C
preflop,8h8d,10.0,0,11,empty,R
preflop,AdQc,10.0,0,11,empty,R
preflop,Jh9d,10.0,0,13,empty,C
preflop,KhJh,10.0,0,13,empty,R
preflop,QhAs,10.0,0,13,empty,R
preflop,KcTc,10.0,0,11,empty,R
preflop,Ad9h,10.0,0,12,empty,R
preflop,KcQs,10.0,0,13,empty,R
preflop,JdTd,10.0,0,12,empty,R
preflop,AdKs,10.0,0,12,empty,R
preflop,7d2h,10.0,0,12,empty,R
preflop,8d6d,10.0,0,13,empty,C
preflop,5s5d,10.0,0,13,empty,C
preflop,JdQh,10.0,0,13,empty,R
preflop,Th6h,10.0,0,13,empty,C
preflop,Kc5s,10.0,0,13,empty,C
preflop,Js2s,10.0,0,13,empty,C
preflop,Ah3h,10.0,0,13,empty,C
preflop,3sKs,10.0,0,13,empty,C
preflop,AcTd,10.0,0,13,empty,R
preflop,7d7s,10.0,0,13,empty,R
preflop,ThAh,10.0,0,13,empty,R
preflop,6d6s,10.0,0,13,empty,R
preflop,Ah9h,10.0,0,13,empty,R
preflop,Qc9c,10.0,0,11,empty,C
preflop,9cJs,10.0,0,11,empty,C
