street,hero_hand,spr,in_position,num_players,board_texture,action_history
river,KhAs,10.0,0,13,rainbow,C
river,KhJd,10.0,0,13,rainbow,C
river,7c8h,10.0,0,13,rainbow,C
river,AhKd,10.0,0,11,rainbow,C
river,9c5d,10.0,0,13,rainbow,C
river,7c5h,10.0,0,13,two-tone,C
river,Jc9s,10.0,0,13,two-tone,C
river,4d7d,10.0,0,13,two-tone,C
river,Td9d,10.0,0,13,two-tone,C
river,Qc5d,10.0,0,13,rainbow,
river,8s8d,10.0,0,13,rainbow,C
river,9c9h,10.0,0,11,rainbow,
river,QhKd,10.0,0,12,rainbow,C
river,2h5c,10.0,0,12,rainbow,
river,Qh4h,10.0,0,13,rainbow,C
river,9sJs,10.0,0,11,rainbow,C
river,AsAh,10.0,0,13,rainbow,C
river,JhKc,10.0,0,9,two-tone,C
river,9dAd,10.0,0,7,rainbow,C
river,QsQh,10.0,0,13,rainbow,
river,JsJc,10.0,0,8,two-tone,
river,JcKs,10.0,0,12,rainbow,R
river,6h2h,10.0,0,12,rainbow,
river,7hQs,10.0,0,12,rainbow,C
river,Qs9d,10.0,0,12,rainbow,
river,Qs9s,10.0,0,13,rainbow,C
river,KcAd,10.0,0,13,rainbow,R
river,6s6d,10.0,0,13,rainbow,C
river,2h9c,10.0,0,13,rainbow,C
river,Qh2d,10.0,0,11,rainbow,
river,Td3d,10.0,0,11,rainbow,C
river,Th7h,10.0,0,13,rainbow,C
river,6d4d,10.0,0,12,rainbow,C
river,9d5d,10.0,0,12,rainbow,C
river,3sTh,10.0,0,12,rainbow,
river,8c6c,10.0,0,12,rainbow,C
river,4hQh,10.0,0,11,rainbow,C
river,QdJd,10.0,0,13,rainbow,R
river,AsAc,10.0,0,9,rainbow,C
river,9cAd,10.0,0,13,two-tone,C
river,7c5c,10.0,0,13,rainbow,C
river,Qs8d,10.0,0,13,two-tone,C
river,JdTc,10.0,0,13,rainbow,C
river,8d8c,10.0,0,12,rainbow,C
river,JsJh,10.0,0,12,two-tone,C
river,Ad9h,10.0,0,12,two-tone,
river,QcTh,10.0,0,13,rainbow,C
river,Qc4c,10.0,0,13,rainbow,C
river,8c8d,10.0,0,13,rainbow,R
river,4d5s,10.0,0,12,two-tone,C
river,Ad9c,10.0,0,12,rainbow,C
river,9d8d,10.0,0,13,rainbow,C
river,KdTs,10.0,0,13,two-tone,C
river,8hJh,10.0,0,13,rainbow,C
river,Qd8d,10.0,0,13,rainbow,C
river,6sAh,10.0,0,13,rainbow,C
river,KcJh,10.0,0,11,rainbow,C
river,5d5h,10.0,0,13,rainbow,C
river,QdJs,10.0,0,11,rainbow,C
river,6s5s,10.0,0,13,rainbow,C
river,Qh8h,10.0,0,12,rainbow,C
river,4h6h,10.0,0,13,rainbow,C
river,Ad3d,10.0,0,13,rainbow,C
river,KhQd,10.0,0,13,two-tone,R
river,4h8c,10.0,0,13,rainbow,C
river,3sKc,10.0,0,13,two-tone,C
river,AdTs,10.0,0,12,rainbow,
river,QdQs,10.0,0,11,rainbow,R
river,9dAs,10.0,0,13,two-tone,C
river,2c2d,10.0,0,13,rainbow,C
river,KdQh,10.0,0,13,rainbow,R
river,3s6s,10.0,0,13,two-tone,C
river,TdTs,10.0,0,13,rainbow,C
river,QsQc,10.0,0,13,rainbow,C
river,4h7c,10.0,0,13,rainbow,C
river,9cAd,10.0,0,13,rainbow,R
river,Qd8d,10.0,0,13,rainbow,
river,5d5h,10.0,0,12,rainbow,C
river,ThTd,10.0,0,12,rainbow,R
river,AcTd,10.0,0,11,rainbow,C
river,JcTc,10.0,0,13,rainbow,C
river,QsQd,10.0,0,13,rainbow,
river,QcKd,10.0,0,13,two-tone,C
river,6dJh,10.0,0,13,rainbow,C
river,4s4d,10.0,0,12,rainbow,C
river,JhTc,10.0,0,12,rainbow,C
river,KhQc,10.0,0,13,rainbow,
river,KhAd,10.0,0,13,rainbow,R
river,JcJs,10.0,0,13,rainbow,C
river,AcKh,10.0,0,9,rainbow,C
river,2c2h,10.0,0,13,rainbow,C
river,9cJc,10.0,0,13,rainbow,C
river,Qd9d,10.0,0,13,rainbow,C
river,QcAh,10.0,0,13,rainbow,
river,KhTh,10.0,0,13,rainbow,C
river,3c3s,10.0,0,12,rainbow,C
river,TdKd,10.0,0,13,rainbow,C
river,AsKs,10.0,0,13,rainbow,C
river,AsJd,10.0,0,13,rainbow,R
river,AsKd,10.0,0,13,rainbow,
river,7c4c,10.0,0,13,rainbow,C
river,7s6d,10.0,0,13,rainbow,C
river,JhQd,10.0,0,13,rainbow,R
river,JdKc,10.0,0,13,rainbow,C
river,KhJc,10.0,0,13,two-tone,C
river,AhKs,10.0,0,13,rainbow,C
river,4cAd,10.0,0,13,two-tone,C
river,7h7d,10.0,0,13,rainbow,R
river,7sJs,10.0,0,12,two-tone,
river,AhJh,10.0,0,13,rainbow,C
river,Ad7d,10.0,0,13,rainbow,C
river,9hAd,10.0,0,13,rainbow,C
river,Jd8c,10.0,0,13,two-tone,C
river,9cKc,10.0,0,9,rainbow,C
river,JhAs,10.0,0,13,rainbow,C
river,JsQs,10.0,0,13,two-tone,C
river,4h4c,10.0,0,13,rainbow,
river,6cAc,10.0,0,13,rainbow,C
river,AdQh,10.0,0,13,rainbow,C
river,9dJh,10.0,0,13,rainbow,C
river,AhKh,10.0,0,13,rainbow,
river,9dJd,10.0,0,13,rainbow,R
river,4hKs,10.0,0,13,rainbow,C
river,JhKh,10.0,0,13,rainbow,C
river,7c5s,10.0,0,13,rainbow,C
river,QcAs,10.0,0,13,two-tone,
river,JsQh,10.0,0,11,two-tone,R
river,Ad8c,10.0,0,12,rainbow,
river,7hKh,10.0,0,8,rainbow,C
river,9dQc,10.0,0,11,rainbow,C
river,5h4d,10.0,0,13,rainbow,C
river,7s7h,10.0,0,13,rainbow,R
river,QsAc,10.0,0,13,rainbow,
river,2hAs,10.0,0,13,two-tone,C
river,7s7c,10.0,0,13,two-tone,R
river,KhKs,10.0,0,13,rainbow,C
river,AhAd,10.0,0,13,rainbow,C
river,Kd9d,10.0,0,9,rainbow,C
river,KhQc,10.0,0,9,rainbow,C
river,7cKd,10.0,0,9,rainbow,C
river,QdTh,10.0,0,9,rainbow,C
river,8hAd,10.0,0,9,rainbow,
river,QcTc,10.0,0,9,rainbow,C
river,Tc9h,10.0,0,13,rainbow,
river,8h8d,10.0,0,11,rainbow,C
river,AdQc,10.0,0,11,rainbow,C
river,Jh9d,10.0,0,13,rainbow,C
river,KhJh,10.0,0,13,rainbow,R
river,QhAs,10.0,0,13,two-tone,C
river,3s7h,10.0,0,13,rainbow,
river,KcTc,10.0,0,11,two-tone,
river,Ad9h,10.0,0,12,rainbow,
river,KcQs,10.0,0,13,two-tone,C
river,JdTd,10.0,0,12,rainbow,C
river,AdKs,10.0,0,12,rainbow,
river,7d2h,10.0,0,12,rainbow,
river,8d6d,10.0,0,13,rainbow,C
river,5s5d,10.0,0,13,rainbow,C
river,JdQh,10.0,0,13,rainbow,C
river,Th6h,10.0,0,13,rainbow,C
