street,hero_hand,spr,in_position,num_players,board_texture,action_history
turn,KhAs,10.0,0,13,two-tone,C
turn,KhJd,10.0,0,13,rainbow,C
turn,7c8h,10.0,0,13,rainbow,C
turn,AhKd,10.0,0,11,rainbow,C
turn,9c5d,10.0,0,13,rainbow,C
turn,7c5h,10.0,0,13,two-tone,C
turn,Jc9s,10.0,0,13,two-tone,C
turn,4d7d,10.0,0,13,two-tone,C
turn,Td9d,10.0,0,13,two-tone,C
turn,Qc5d,10.0,0,13,rainbow,
turn,8s8d,10.0,0,13,rainbow,C
turn,9c9h,10.0,0,11,two-tone,
turn,QhKd,10.0,0,12,rainbow,C
turn,2h5c,10.0,0,12,rainbow,
turn,Qh4h,10.0,0,13,rainbow,C
turn,9sJs,10.0,0,11,rainbow,C
turn,AsAh,10.0,0,13,rainbow,C
turn,JhKc,10.0,0,9,two-tone,C
turn,9dAd,10.0,0,7,rainbow,C
turn,QsQh,10.0,0,13,rainbow,
turn,JsJc,10.0,0,8,two-tone,
turn,JcKs,10.0,0,12,two-tone,R
turn,6h2h,10.0,0,12,two-tone,
turn,7hQs,10.0,0,12,rainbow,C
turn,Qs9d,10.0,0,12,rainbow,
turn,Qs9s,10.0,0,13,rainbow,C
turn,KcAd,10.0,0,13,rainbow,R
turn,6s6d,10.0,0,13,rainbow,C
turn,2h9c,10.0,0,13,two-tone,C
turn,Qh2d,10.0,0,11,two-tone,
turn,Td3d,10.0,0,11,rainbow,C
turn,Th7h,10.0,0,13,two-tone,C
turn,6d4d,10.0,0,12,two-tone,C
turn,9d5d,10.0,0,12,rainbow,C
turn,3sTh,10.0,0,12,rainbow,
turn,8c6c,10.0,0,12,rainbow,C
turn,4hQh,10.0,0,11,rainbow,C
turn,QdJd,10.0,0,13,rainbow,R
turn,AsAc,10.0,0,9,two-tone,C
turn,9cAd,10.0,0,13,two-tone,C
turn,7c5c,10.0,0,13,rainbow,C
turn,Qs8d,10.0,0,13,monotone,C
turn,JdTc,10.0,0,13,rainbow,C
turn,8d8c,10.0,0,12,rainbow,C
turn,JsJh,10.0,0,12,two-tone,C
turn,Ad9h,10.0,0,12,monotone,
turn,QcTh,10.0,0,13,rainbow,C
turn,Qc4c,10.0,0,13,rainbow,C
turn,8c8d,10.0,0,13,rainbow,R
turn,4d5s,10.0,0,12,two-tone,C
turn,Ad9c,10.0,0,12,rainbow,C
turn,9d8d,10.0,0,13,rainbow,C
turn,KdTs,10.0,0,13,two-tone,C
turn,8hJh,10.0,0,13,two-tone,C
turn,Qd8d,10.0,0,13,two-tone,C
turn,6sAh,10.0,0,13,rainbow,C
turn,KcJh,10.0,0,11,two-tone,C
turn,5d5h,10.0,0,13,rainbow,C
turn,QdJs,10.0,0,11,rainbow,C
turn,6s5s,10.0,0,13,rainbow,C
turn,Qh8h,10.0,0,12,rainbow,C
turn,4h6h,10.0,0,13,two-tone,C
turn,Ad3d,10.0,0,13,two-tone,C
turn,KhQd,10.0,0,13,two-tone,R
turn,4h8c,10.0,0,13,two-tone,C
turn,3sKc,10.0,0,13,two-tone,C
turn,AdTs,10.0,0,12,rainbow,
turn,QdQs,10.0,0,11,rainbow,R
turn,9dAs,10.0,0,13,two-tone,C
turn,2c2d,10.0,0,13,rainbow,C
turn,KdQh,10.0,0,13,rainbow,R
turn,3s6s,10.0,0,13,two-tone,C
turn,TdTs,10.0,0,13,rainbow,C
turn,QsQc,10.0,0,13,two-tone,C
turn,4h7c,10.0,0,13,rainbow,C
turn,9cAd,10.0,0,13,rainbow,R
turn,Qd8d,10.0,0,13,rainbow,
turn,5d5h,10.0,0,12,rainbow,C
turn,ThTd,10.0,0,12,rainbow,R
turn,AcTd,10.0,0,11,rainbow,C
turn,JcTc,10.0,0,13,rainbow,C
turn,QsQd,10.0,0,13,rainbow,
turn,QcKd,10.0,0,13,two-tone,C
turn,6dJh,10.0,0,13,rainbow,C
turn,4s4d,10.0,0,12,rainbow,C
turn,JhTc,10.0,0,12,rainbow,C
turn,KhQc,10.0,0,13,rainbow,
turn,KhAd,10.0,0,13,rainbow,R
turn,JcJs,10.0,0,13,rainbow,C
turn,AcKh,10.0,0,9,two-tone,C
turn,2c2h,10.0,0,13,rainbow,C
turn,9cJc,10.0,0,13,rainbow,C
turn,Qd9d,10.0,0,13,rainbow,C
turn,QcAh,10.0,0,13,two-tone,
turn,KhTh,10.0,0,13,rainbow,C
turn,3c3s,10.0,0,12,rainbow,C
turn,TdKd,10.0,0,13,rainbow,C
turn,AsKs,10.0,0,13,rainbow,C
turn,AsJd,10.0,0,13,rainbow,R
turn,AsKd,10.0,0,13,rainbow,
turn,7c4c,10.0,0,13,rainbow,C
turn,7s6d,10.0,0,13,two-tone,C
